indice,variacao,seed,texto,modelo,experimento,checkpoint,criterio_selecao,referencia,arquivo_gerado,status,tempo_s,erro
1,1,42,Hoje o trânsito estava tranquilo,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\001.wav,ok,2.198,
2,1,42,Você conseguiu encontrar o endereço correto da reunião?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\002.wav,ok,1.985,
3,1,42,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\003.wav,ok,3.399,
4,1,42,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\004.wav,ok,2.402,
5,1,42,Que surpresa agradável encontrar vocês por aqui!,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\005.wav,ok,1.731,
6,1,42,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\006.wav,ok,3.313,
7,1,42,Ontem eu passei rapidamente no mercado,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\007.wav,ok,1.413,
8,1,42,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\008.wav,ok,2.507,
9,1,42,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\009.wav,ok,3.735,
10,1,42,O computador reiniciou sozinho,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\1.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\010.wav,ok,1.432,
11,1,42,Ainda não recebi a confirmação da inscrição,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\011.wav,ok,2.308,
12,1,42,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\012.wav,ok,4.182,
13,1,42,Será que o ônibus passa por esta rua?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\013.wav,ok,1.793,
14,1,42,O técnico resolveu o problema em poucos minutos,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\014.wav,ok,2.383,
15,1,42,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\015.wav,ok,3.182,
16,1,42,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\016.wav,ok,4.065,
17,1,42,Você pode repetir a última informação?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\017.wav,ok,1.761,
18,1,42,A encomenda chegou exatamente no prazo informado pela transportadora,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\018.wav,ok,3.349,
19,1,42,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\019.wav,ok,4.443,
20,1,42,Faz bastante calor hoje,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\2.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\020.wav,ok,1.367,
21,1,42,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\021.wav,ok,3.038,
22,1,42,Eu não esperava encontrar tanta gente naquele horário,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\022.wav,ok,1.805,
23,1,42,Qual foi a primeira cidade que você visitou durante as férias?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\023.wav,ok,2.297,
24,1,42,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas",original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\024.wav,ok,2.823,
25,1,42,O cachorro correu até o portão assim que ouviu o carro se aproximando,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\025.wav,ok,2.207,
26,1,42,Você sabe onde fica a biblioteca central?,original,XTTS_v2_original,model.pth,modelo_base_oficial,E:\git\coqui-ai-TTS\refs\3.wav,E:\git\coqui-ai-TTS\outputs_final_experiment\original\v1\026.wav,ok,2.219,
