modelo,condicao,variacao,indice,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,lev_sim,mosanet_mos,nisqa_overall,nisqa_noisiness,nisqa_discontinuity,nisqa_coloration,nisqa_loudness,dns_sig,dns_bak,dns_ovrl,mos_principal,mos_principal_fonte,status,erro
fishspeech,original,v1,2,fishspeech\outputs_final_experiment\original\v1\002.wav,Você conseguiu encontrar o endereço correto da reunião?,Você conseguiu encontrar o endereço correto da reunião?,2.972,0,1.0,,4.1948,3.8829,4.4901,4.0386,4.385,3.7878,3.41,3.5008,4.1948,nisqa_overall,ok,
fishspeech,original,v1,7,fishspeech\outputs_final_experiment\original\v1\007.wav,Ontem eu passei rapidamente no mercado.,Tô se sentindo para ser rápidamente no mercado.,3.019,17,0.6304,,3.9881,3.6008,4.4284,3.9855,4.3914,3.3019,3.4621,3.7891,3.9881,nisqa_overall,ok,
fishspeech,original,v1,12,fishspeech\outputs_final_experiment\original\v1\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao... ao... ao evento, a apresentação já havia começado e quase... não encontramos lugares disponíveis.",19.644,5,0.955,,4.0863,4.0145,4.3507,4.116,4.2701,4.05,3.6571,4.1922,4.0863,nisqa_overall,ok,
fishspeech,original,v1,17,fishspeech\outputs_final_experiment\original\v1\017.wav,Você pode repetir a última informação?,Você pode repetir a última informação.,2.322,0,1.0,,4.2275,4.0974,4.4781,4.0825,4.4259,3.8896,3.6245,3.8503,4.2275,nisqa_overall,ok,
fishspeech,original,v1,22,fishspeech\outputs_final_experiment\original\v1\022.wav,Eu não esperava encontrar tanta gente naquele horário.,Eu não esperava encontrar tanta gente naquele horário.,7.848,0,1.0,,3.6466,3.8894,4.2381,3.3736,3.7926,3.9309,3.6149,3.8337,3.6466,nisqa_overall,ok,
fishspeech,original,v1,27,fishspeech\outputs_final_experiment\original\v1\027.wav,O relatório foi concluído.,O avatário foi concluído.,3.947,4,0.84,,3.6638,3.2978,4.2163,3.6796,3.9472,3.5595,3.5969,3.7586,3.6638,nisqa_overall,ok,
fishspeech,original,v1,32,fishspeech\outputs_final_experiment\original\v1\032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardávamos o início da palestra, conversávamos sobre projetos futuros e oportunidades de pesquisa.",10.913,2,0.9813,,4.1847,3.7705,4.4627,4.0122,4.3548,3.6728,3.6509,3.8282,4.1847,nisqa_overall,ok,
fishspeech,original,v1,37,fishspeech\outputs_final_experiment\original\v1\037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo que imaginávamos.,3.808,3,0.9348,,3.4557,3.0574,4.3106,3.9325,3.4755,3.5579,3.443,3.4306,3.4557,nisqa_overall,ok,
fishspeech,original,v1,42,fishspeech\outputs_final_experiment\original\v1\042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.","Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.",10.078,0,1.0,,3.2057,2.5073,4.2183,3.6378,3.9904,2.9867,3.4087,3.3579,3.2057,nisqa_overall,ok,
fishspeech,original,v1,47,fishspeech\outputs_final_experiment\original\v1\047.wav,Hoje acordei mais cedo.,Não é que eu acordei mais cedo.,3.855,10,0.6667,,2.9105,2.1992,4.3682,3.2712,3.5323,3.0166,2.767,2.1491,2.9105,nisqa_overall,ok,
