indice,variacao,seed,texto,modelo,experimento,checkpoint,criterio_selecao,referencia,arquivo_gerado,status,tempo_s,erro
1,1,42,Hoje o trânsito estava tranquilo,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\001.wav,skipped,0.0,
1,2,123,Hoje o trânsito estava tranquilo,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\001.wav,skipped,0.0,
1,3,456,Hoje o trânsito estava tranquilo,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\001.wav,skipped,0.0,
2,1,42,Você conseguiu encontrar o endereço correto da reunião?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\002.wav,skipped,0.0,
2,2,123,Você conseguiu encontrar o endereço correto da reunião?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\002.wav,skipped,0.0,
2,3,456,Você conseguiu encontrar o endereço correto da reunião?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\002.wav,skipped,0.0,
3,1,42,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\003.wav,skipped,0.0,
3,2,123,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\003.wav,skipped,0.0,
3,3,456,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\003.wav,skipped,0.0,
4,1,42,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\004.wav,skipped,0.0,
