modelo,condicao,indice,variacao_escolhida,score_composto,lev_sim,mos_principal,mos_principal_fonte,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,mosanet_mos,nisqa_overall,nisqa_noisiness,nisqa_discontinuity,nisqa_coloration,nisqa_loudness,dns_sig,dns_bak,dns_ovrl,status,erro,lev_norm01,mos_norm01
fishspeech,original,1,v2,1.0,1.0,3.9667,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\001.wav,Hoje o trânsito estava tranquilo.,Hoje o trânsito estava tranquilo,4.365,0,,3.9667,3.012,4.3711,3.6852,4.2332,3.1285,3.4238,2.3368,ok,,1.0,
fishspeech,original,2,v1,1.0,1.0,4.1948,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\002.wav,Você conseguiu encontrar o endereço correto da reunião?,Você conseguiu encontrar o endereço correto da reunião?,2.972,0,,4.1948,3.8829,4.4901,4.0386,4.385,3.7878,3.41,3.5008,ok,,1.0,
fishspeech,original,3,v3,1.0,1.0,3.748,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\003.wav,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.","Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.",5.434,0,,3.748,2.967,4.1889,3.8356,4.2506,3.67,3.6677,3.7263,ok,,1.0,
fishspeech,original,4,v3,0.84,0.84,3.695,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\004.wav,O café estava tão quente que precisei esperar alguns minutos antes de beber.,O café estava tão quente que eu precisei esperar alguns minutos antes.,5.805,12,,3.695,3.0677,4.3247,3.7301,4.2016,3.662,3.6014,3.6183,ok,,0.84,
fishspeech,original,5,v2,1.0,1.0,3.0611,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\005.wav,Que surpresa agradável encontrar vocês por aqui!,Que surpresa agradável encontrar vocês por aqui.,2.786,0,,3.0611,2.8441,3.9162,3.5908,4.085,3.6076,3.4951,3.3062,ok,,1.0,
fishspeech,original,6,v1,1.0,1.0,4.1328,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\006.wav,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,7.105,0,,4.1328,3.6093,4.4519,3.9256,4.3808,3.624,3.7511,4.2303,ok,,1.0,
fishspeech,original,7,v2,1.0,1.0,3.7374,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\007.wav,Ontem eu passei rapidamente no mercado.,ontem eu passei rapidamente no mercado.,2.926,0,,3.7374,2.9409,4.1715,3.5388,4.1777,3.4834,3.5572,3.0911,ok,,1.0,
fishspeech,original,8,v1,1.0,1.0,3.2622,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\008.wav,Você lembra qual foi o horário combinado para o encontro de amanhã?,Você lembra qual foi o horário combinado para o encontro de amanhã?,4.226,0,,3.2622,3.437,3.2569,3.4869,4.0457,3.5279,3.378,3.7543,ok,,1.0,
fishspeech,original,9,v3,1.0,1.0,3.999,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\009.wav,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.","Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.",6.409,0,,3.999,2.7234,4.3618,3.5942,4.3219,3.4961,3.3688,3.8026,ok,,1.0,
fishspeech,original,10,v1,0.9333,0.9333,3.9919,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\010.wav,O computador reiniciou sozinho.,O computador iniciou sozinho.,3.483,2,,3.9919,2.8713,4.3483,4.0132,4.4219,3.4947,3.6111,4.1098,ok,,0.9333,
fishspeech,original,11,v3,1.0,1.0,4.1986,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\011.wav,Ainda não recebi a confirmação da inscrição.,ainda não recebi a confirmação da inscrição.,5.016,0,,4.1986,3.9971,4.4225,3.9224,4.4091,3.855,3.7541,4.2507,ok,,1.0,
fishspeech,original,12,v2,1.0,1.0,3.5577,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",9.567,0,,3.5577,3.2796,4.1669,3.389,4.0049,3.8171,3.5628,4.1476,ok,,1.0,
fishspeech,original,13,v3,1.0,1.0,3.9159,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\013.wav,Será que o ônibus passa por esta rua?,Será que o ônibus passa por esta rua?,2.508,0,,3.9159,3.5853,4.0909,3.7047,4.2324,3.9261,3.5381,3.947,ok,,1.0,
fishspeech,original,14,v2,1.0,1.0,3.6502,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\014.wav,O técnico resolveu o problema em poucos minutos.,O técnico resolveu o problema em poucos minutos.,6.269,0,,3.6502,3.5068,4.1389,3.6418,4.0284,3.7123,3.6044,4.1502,ok,,1.0,
fishspeech,original,15,v3,0.9718,0.9718,2.8623,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\015.wav,"Depois que a energia voltou, todos retomaram suas atividades normalmente.","Depois que energia voltou, todos retomaram suas atividades normalmente.",4.04,2,,2.8623,3.1605,2.7389,2.7977,3.5352,3.5487,3.633,3.42,ok,,0.9718,
fishspeech,original,16,v3,1.0,1.0,4.2655,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\016.wav,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão.,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão.,15.279,0,,4.2655,3.8529,4.324,4.1055,4.2973,4.0537,3.6066,4.1449,ok,,1.0,
fishspeech,original,17,v1,1.0,1.0,4.2275,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\017.wav,Você pode repetir a última informação?,Você pode repetir a última informação.,2.322,0,,4.2275,4.0974,4.4781,4.0825,4.4259,3.8896,3.6245,3.8503,ok,,1.0,
fishspeech,original,18,v3,0.9706,0.9706,3.6429,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\018.wav,A encomenda chegou exatamente no prazo informado pela transportadora.,Encomenda chegou exatamente no prazo informado pela transportadora.,7.616,2,,3.6429,3.6716,3.8884,3.7262,4.0221,3.8597,3.6614,4.2074,ok,,0.9706,
fishspeech,original,19,v3,1.0,1.0,4.0201,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\019.wav,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,5.294,0,,4.0201,3.6709,4.4287,3.9821,4.3197,3.8892,3.7937,4.0684,ok,,1.0,
fishspeech,original,20,v2,0.92,0.92,3.7205,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\020.wav,Faz bastante calor hoje.,Fazer bastante calor hoje.,6.78,2,,3.7205,3.5001,4.1904,3.3979,3.9388,3.9907,3.59,4.081,ok,,0.92,
fishspeech,original,21,v3,0.5106,0.5106,4.1926,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\021.wav,O professor pediu que os alunos entregassem os trabalhos até a próxima semana.,"Mas ele podeu que o exerdono se entregará, não entregará, para que trabalhe até a próxima semana.",12.864,46,,4.1926,4.2071,4.4648,4.1093,4.2222,3.9592,3.6015,4.1473,ok,,0.5106,
fishspeech,original,22,v2,1.0,1.0,3.6751,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\022.wav,Eu não esperava encontrar tanta gente naquele horário.,Eu não esperava encontrar tanta gente naquele horário.,8.499,0,,3.6751,4.0072,4.0327,2.9958,3.6397,4.1274,3.4578,4.0223,ok,,1.0,
fishspeech,original,23,v1,0.7869,0.7869,4.368,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\023.wav,Qual foi a primeira cidade que você visitou durante as férias?,e a primeira cidade que você visita durante os ferios.,3.855,13,,4.368,4.1933,4.4827,4.006,4.2491,3.8275,3.5746,4.0963,ok,,0.7869,
fishspeech,original,24,v3,0.806,0.806,4.3928,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\024.wav,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas.","A sede da chuva, a cerimônia aconteceu sem grandes problemas.",7.663,13,,4.3928,4.1628,4.5042,4.206,4.4239,4.18,3.6215,4.0958,ok,,0.806,
fishspeech,original,25,v3,0.2029,0.2029,4.267,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\025.wav,O cachorro correu até o portão assim que ouviu o carro se aproximando.,Eu já beiro a também se aparecer limiting ma oral.,5.434,55,,4.267,4.2946,4.572,4.0501,4.2383,4.1965,3.5953,4.0928,ok,,0.2029,
fishspeech,original,26,v3,0.2,0.2,3.8826,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\026.wav,Você sabe onde fica a biblioteca central?,"e se derrubar, se derrubar, se derrubar.",4.226,32,,3.8826,4.2283,4.465,3.5761,3.6617,3.8685,3.4463,3.9723,ok,,0.2,
fishspeech,original,27,v1,0.84,0.84,3.6638,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\027.wav,O relatório foi concluído.,O avatário foi concluído.,3.947,4,,3.6638,3.2978,4.2163,3.6796,3.9472,3.5595,3.5969,3.7586,ok,,0.84,
fishspeech,original,28,v1,0.7727,0.7727,4.3099,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\028.wav,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente.","Durante o madrugado, eu fico mais forte, a vôros balançavam constantemente.",7.198,20,,4.3099,4.0925,4.4742,4.0925,4.3712,3.8555,3.5792,3.9955,ok,,0.7727,
fishspeech,original,29,v3,0.4211,0.4211,4.3982,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\029.wav,Que horas são agora?,Chiara Sonogara,1.393,11,,4.3982,4.5565,4.6758,4.2905,4.545,3.7269,3.6149,4.0404,ok,,0.4211,
fishspeech,original,30,v1,0.9219,0.9219,3.1693,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\030.wav,A médica explicou com calma cada etapa do tratamento recomendado.,A América explicou com calma a etapa do tratamento recomendado.,6.223,5,,3.1693,2.8984,4.0934,3.0664,3.2948,3.6718,3.6078,3.7286,ok,,0.9219,
fishspeech,original,31,v1,0.9697,0.9697,4.2721,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\031.wav,O grupo decidiu antecipar a saída.,O grupo decidiu... ...anticipar a saída.,4.226,1,,4.2721,3.4304,4.5118,4.1813,4.2033,3.851,3.6014,4.1859,ok,,0.9697,
fishspeech,original,32,v1,0.9813,0.9813,4.1847,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardávamos o início da palestra, conversávamos sobre projetos futuros e oportunidades de pesquisa.",10.913,2,,4.1847,3.7705,4.4627,4.0122,4.3548,3.6728,3.6509,3.8282,ok,,0.9813,
fishspeech,original,33,v3,0.8519,0.8519,3.0967,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\033.wav,O restaurante estava lotado.,o restaurante está valutado.,2.136,4,,3.0967,3.4556,4.1757,3.2524,3.1604,3.3655,3.4526,4.0284,ok,,0.8519,
fishspeech,original,34,v1,1.0,1.0,3.8643,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\034.wav,Você já assistiu ao filme que foi lançado na semana passada?,Você já assistiu ao filme que foi lançado na semana passada?,7.105,0,,3.8643,3.7931,4.3737,4.0015,3.1225,3.4593,3.6856,4.1626,ok,,1.0,
fishspeech,original,35,v2,1.0,1.0,4.2744,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\035.wav,"Depois de vários testes, conseguimos identificar a origem do problema.",Depois de vários testes conseguimos identificar a origem do problema.,7.802,0,,4.2744,3.6242,4.5057,4.2546,3.7683,3.6112,3.5556,3.9649,ok,,1.0,
fishspeech,original,36,v1,1.0,1.0,3.6618,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\036.wav,A praia estava praticamente vazia naquela manhã de terça-feira.,A praia estava praticamente vazia naquela manhã de terça-feira.,8.777,0,,3.6618,3.7185,4.1209,3.8952,2.5632,3.532,3.5631,4.0587,ok,,1.0,
fishspeech,original,37,v3,1.0,1.0,4.2114,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo do que imaginávamos.,5.341,0,,4.2114,3.3202,4.4209,4.1374,3.4141,3.2162,3.5015,3.9798,ok,,1.0,
fishspeech,original,38,v2,1.0,1.0,4.1012,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\038.wav,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,12.121,0,,4.1012,3.713,4.5047,4.2715,3.834,3.711,3.7074,4.1757,ok,,1.0,
fishspeech,original,39,v3,1.0,1.0,4.1655,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\039.wav,A apresentação terminou com aplausos.,A apresentação terminou com aplausos.,3.622,0,,4.1655,3.7304,4.5249,4.2209,4.3568,3.5911,3.5145,4.0295,ok,,1.0,
fishspeech,original,40,v3,1.0,1.0,4.267,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\040.wav,Você pretende viajar durante o feriado?,Você pretende viajar durante o feriado?,2.926,0,,4.267,3.4653,4.5931,4.0354,4.3948,3.6858,3.6827,3.9856,ok,,1.0,
fishspeech,original,41,v1,0.766,0.766,2.5243,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\041.wav,O elevador parou no décimo segundo andar.,"com o elevador parando o décimo, o segundo andar.",3.019,11,,2.5243,2.347,4.115,2.5855,2.8398,2.7914,3.5858,3.1114,ok,,0.766,
fishspeech,original,42,v1,1.0,1.0,3.2057,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.","Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.",10.078,0,,3.2057,2.5073,4.2183,3.6378,3.9904,2.9867,3.4087,3.3579,ok,,1.0,
fishspeech,original,43,v1,0.8947,0.8947,3.3861,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\043.wav,O mercado fecha às oito horas da noite.,O mercado fecha às 8 horas da noite.,3.204,4,,3.3861,2.2276,4.2608,3.6915,4.1488,2.8825,3.512,3.8197,ok,,0.8947,
fishspeech,original,44,v1,1.0,1.0,2.301,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\044.wav,A criança ficou observando atentamente os peixes coloridos dentro do aquário.,A criança ficou observando atentamente os peixes coloridos dentro do aquário.,4.458,0,,2.301,2.5038,3.899,2.1893,2.806,3.3643,3.4948,2.6813,ok,,1.0,
fishspeech,original,45,v2,0.2292,0.2292,3.5048,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\045.wav,Você conseguiu falar com o responsável?,e se as saculinhas nos osso osso recognized osso,7.802,37,,3.5048,2.325,4.5612,3.7444,4.1997,3.0456,3.5584,3.2594,ok,,0.2292,
fishspeech,original,46,v1,1.0,1.0,3.1751,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\046.wav,O motorista precisou escolher uma rota alternativa para evitar um grande congestionamento.,O motorista precisou escolher uma rota alternativa para evitar um grande congestionamento.,6.78,0,,3.1751,2.0844,4.2247,3.5545,3.8036,3.2031,3.1878,2.4105,ok,,1.0,
fishspeech,original,47,v2,0.75,0.75,2.6158,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\047.wav,Hoje acordei mais cedo.,hoje vai poder mais cedo.,1.44,6,,2.6158,2.4426,4.1048,3.3482,3.1055,2.7943,2.2126,1.5394,ok,,0.75,
fishspeech,original,48,v3,1.0,1.0,2.9254,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\048.wav,O pesquisador apresentou resultados preliminares bastante promissores durante o seminário.,O pesquisador apresentou resultados preliminares bastante promissores durante o seminário.,11.006,0,,2.9254,2.2013,4.0786,3.4208,3.4953,2.793,3.5397,3.0323,ok,,1.0,
fishspeech,original,49,v1,0.8857,0.8857,3.1921,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\049.wav,Parece que vai chover novamente.,Parece que vai chover novamente que...,2.09,4,,3.1921,2.2929,4.2506,3.046,3.8615,3.3848,2.6418,1.7489,ok,,0.8857,
fishspeech,original,50,v2,0.9636,0.9636,3.303,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\050.wav,Qual é a melhor maneira de chegar ao centro da cidade?,e qual é a melhor maneira de chegar ao centro da cidade.,6.548,2,,3.303,2.3724,4.3765,3.7926,4.024,2.9685,1.5554,1.6493,ok,,0.9636,
fishspeech,original,51,v1,1.0,1.0,4.2617,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\051.wav,O sistema voltou a funcionar normalmente.,O sistema voltou a funcionar normalmente.,5.201,0,,4.2617,3.7092,4.3692,4.0508,4.364,3.7551,3.5291,3.9833,ok,,1.0,
fishspeech,original,52,v3,1.0,1.0,4.1687,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.","Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.",5.341,0,,4.1687,3.7417,4.4222,4.0071,4.2684,3.5832,3.5601,3.8869,ok,,1.0,
fishspeech,original,53,v2,0.8889,0.8889,4.2307,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\053.wav,O livro estava sobre a mesa.,O livro estava sobremesa.,1.997,3,,4.2307,3.6512,4.5708,4.2461,4.4726,3.5628,3.5022,3.6106,ok,,0.8889,
fishspeech,original,54,v2,1.0,1.0,4.2212,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\054.wav,Você poderia verificar se a porta foi realmente trancada antes de sairmos?,Você poderia verificar se a porta foi realmente trancada antes de sairmos?,4.365,0,,4.2212,3.8052,4.3678,4.0415,4.379,3.7933,3.6305,3.8797,ok,,1.0,
