modelo,condicao,variacao,indice,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,lev_sim,status,erro
fishspeech,original,v1,1,fishspeech/outputs_final_experiment/original/v1/001.wav,Hoje o trânsito estava tranquilo.,Hoje o trânsito estava tranquilo.,1.826,1,0.9723,ok,
fishspeech,original,v1,2,fishspeech/outputs_final_experiment/original/v1/002.wav,Você conseguiu encontrar o endereço correto da reunião?,Você conseguiu encontrar o endereço correto da reunião?,3.285,0,0.9921,ok,
fishspeech,original,v1,3,fishspeech/outputs_final_experiment/original/v1/003.wav,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.","Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.",2.427,5,0.9462,ok,
fishspeech,original,v1,4,fishspeech/outputs_final_experiment/original/v1/004.wav,O café estava tão quente que precisei esperar alguns minutos antes de beber.,O café estava tão quente que precisei esperar alguns minutos antes de beber.,2.031,8,0.8969,ok,
fishspeech,original,v1,5,fishspeech/outputs_final_experiment/original/v1/005.wav,Que surpresa agradável encontrar vocês por aqui!,Que surpresa agradável encontrar vocês por aqui!,5.751,8,0.8379,ok,
fishspeech,original,v1,6,fishspeech/outputs_final_experiment/original/v1/006.wav,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,4.957,5,0.9429,ok,
fishspeech,original,v1,7,fishspeech/outputs_final_experiment/original/v1/007.wav,Ontem eu passei rapidamente no mercado.,Ontem eu passei rapidamente no mercado.,2.179,0,1.0,ok,
fishspeech,original,v1,8,fishspeech/outputs_final_experiment/original/v1/008.wav,Você lembra qual foi o horário combinado para o encontro de amanhã?,Você lembra qual foi o horário combinado para o encontro de amanhã?,1.743,8,0.8745,ok,
fishspeech,original,v1,9,fishspeech/outputs_final_experiment/original/v1/009.wav,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.","Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.",2.181,6,0.931,ok,
fishspeech,original,v1,10,fishspeech/outputs_final_experiment/original/v1/010.wav,O computador reiniciou sozinho.,O computador reiniciou sozinho.,1.96,3,0.9089,ok,
fishspeech,original,v1,11,fishspeech/outputs_final_experiment/original/v1/011.wav,Ainda não recebi a confirmação da inscrição.,Ainda não recebi a confirmação da inscrição.,3.15,4,0.9171,ok,
fishspeech,original,v1,12,fishspeech/outputs_final_experiment/original/v1/012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",1.63,13,0.8834,ok,
fishspeech,original,v1,13,fishspeech/outputs_final_experiment/original/v1/013.wav,Será que o ônibus passa por esta rua?,Será que o ônibus passa por esta rua?,5.551,2,0.9498,ok,
fishspeech,original,v1,14,fishspeech/outputs_final_experiment/original/v1/014.wav,O técnico resolveu o problema em poucos minutos.,O técnico resolveu o problema em poucos minutos.,3.281,1,0.9719,ok,
fishspeech,original,v1,15,fishspeech/outputs_final_experiment/original/v1/015.wav,"Depois que a energia voltou, todos retomaram suas atividades normalmente.","Depois que a energia voltou, todos retomaram suas atividades normalmente.",1.564,7,0.9047,ok,
fishspeech,original,v1,16,fishspeech/outputs_final_experiment/original/v1/016.wav,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão.,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão.,5.595,8,0.9069,ok,
fishspeech,original,v1,17,fishspeech/outputs_final_experiment/original/v1/017.wav,Você pode repetir a última informação?,(ininteligível),3.631,26,0.2898,ok,
fishspeech,original,v1,18,fishspeech/outputs_final_experiment/original/v1/018.wav,A encomenda chegou exatamente no prazo informado pela transportadora.,A encomenda chegou exatamente no prazo informado pela transportadora.,3.495,4,0.9369,ok,
fishspeech,original,v1,19,fishspeech/outputs_final_experiment/original/v1/019.wav,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,2.117,0,1.0,ok,
fishspeech,original,v1,20,fishspeech/outputs_final_experiment/original/v1/020.wav,Faz bastante calor hoje.,Faz bastante calor hoje.,5.786,1,0.9645,ok,
