id,path,duration_sec,sample_rate,channels,bit_depth,original_path,original_name,text
1,data\1.wav,10.74,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\71ea5a79-0abe-4570-8c1d-d25f1688545e.wav,71ea5a79-0abe-4570-8c1d-d25f1688545e.wav,A velha locomotiva vem com pouca carga e esfaróis iluminam as flores da rua em que a criança desenhou um vulcão.
2,data\2.wav,13.74,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\734c6b64-56df-4f10-8eaa-5f08559c29d5.wav,734c6b64-56df-4f10-8eaa-5f08559c29d5.wav,Suas atitudes são muito drásticas e resultarão em guerra entre vocês. Ela chegou a pedir o divórcio antes dele morrer e pensou que podia compartilhar esse documento com você.
3,data\3.wav,10.68,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\9b8f97e4-40d2-4c8c-b7cf-198bf553c6c0.wav,9b8f97e4-40d2-4c8c-b7cf-198bf553c6c0.wav,"Você tem razão, a correção da prova não foi justa e a turma tirou notas abaixo da média. Assim como a gestão do ator prefeito, a diretoria não está agradando o povo."
4,data\4.wav,13.312018,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_10_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_10_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,esse canal tem bastante pornografia e a abertura do campeonato ocorreu antes de ontem quando os turistas japoneses procuravam belas casas para alugar
5,data\5.wav,15.36,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_11_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_11_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,"O biscoito era de chocolate com morango. Por isso, escolhi o bombom do chocolate ao leite com licor de amarula. Ainda precisamos comprar pote, café, pão francês, abóbora e melão."
6,data\6.wav,16.810703,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_12_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_12_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,"Segurei a panela de macarrão com apenas uma mão e as duas pilhas que eu lhe dei caíram o chão. A han está embaixo do fogão, deve ser retirada logo, pois tenho medo de répteis e de minhocas."
7,data\7.wav,19.370703,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_13_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_13_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para aprender os assaltantes.
8,data\8.wav,10.922721,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_14_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_14_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,Ele ficou chateado porque foi chamado de burro pelo escrivão Zangado enquanto lavava sua blusa azul de lã com água e sabão.
9,data\9.wav,9.984036,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_15_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_15_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,"Lee, que é o escrivão, mora sozinho perto da plantação de feijão e sorte que o jacaré que fugiu do zoológico já foi encontrado."
10,data\10.wav,9.642721,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_5ixvlwi83_frase_16_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,converted_5ixvlwi83_frase_16_2018-08-14_34_CampinaGrande_Paraiba_Feminino_Doutorado.wav,"A velha locomotiva vem com pouca carga e os faróis iluminam as flores da rua, em que a criança desenhou um vulcão."
