texto,model_17642.pt,model_35284.pt,model_52926.pt,model_last.pt,checkpoint_original
"Hoje acordei cedo, preparei um cafe forte e organizei a mesa para estudar com calma.",model_17642.pt_frase_01.wav,model_35284.pt_frase_01.wav,model_52926.pt_frase_01.wav,model_last.pt_frase_01.wav,checkpoint_original_frase_01.wav
"Enquanto o trem passava devagar, uma crianca sorria e apontava para as nuvens alaranjadas.",model_17642.pt_frase_02.wav,model_35284.pt_frase_02.wav,model_52926.pt_frase_02.wav,model_last.pt_frase_02.wav,checkpoint_original_frase_02.wav
"O pesquisador analisou os dados, escreveu um relatorio objetivo e compartilhou as conclusoes com a equipe.",model_17642.pt_frase_03.wav,model_35284.pt_frase_03.wav,model_52926.pt_frase_03.wav,model_last.pt_frase_03.wav,checkpoint_original_frase_03.wav
"Estamos construindo uma rotina mais saudavel, caminhando no bairro e cozinhando alimentos frescos todos os dias.",model_17642.pt_frase_04.wav,model_35284.pt_frase_04.wav,model_52926.pt_frase_04.wav,model_last.pt_frase_04.wav,checkpoint_original_frase_04.wav
"A bibliotecaria catalogou romances, dicionarios e biografias, mantendo cada prateleira limpa e bem sinalizada.",model_17642.pt_frase_05.wav,model_35284.pt_frase_05.wav,model_52926.pt_frase_05.wav,model_last.pt_frase_05.wav,checkpoint_original_frase_05.wav
"Se voce estiver dirigindo com chuva intensa, reduza a velocidade, mantenha distancia e evite manobras bruscas.",model_17642.pt_frase_06.wav,model_35284.pt_frase_06.wav,model_52926.pt_frase_06.wav,model_last.pt_frase_06.wav,checkpoint_original_frase_06.wav
"No fim da tarde, os amigos conversavam rindo, lembrando historias antigas e planejando uma viagem curta.",model_17642.pt_frase_07.wav,model_35284.pt_frase_07.wav,model_52926.pt_frase_07.wav,model_last.pt_frase_07.wav,checkpoint_original_frase_07.wav
"A startup lancou um aplicativo simples, corrigiu bugs rapidamente e recebeu comentarios positivos dos usuarios.",model_17642.pt_frase_08.wav,model_35284.pt_frase_08.wav,model_52926.pt_frase_08.wav,model_last.pt_frase_08.wav,checkpoint_original_frase_08.wav
"Quando o professor explicava o experimento, os alunos anotavam atentos e faziam perguntas bastante pertinentes.",model_17642.pt_frase_09.wav,model_35284.pt_frase_09.wav,model_52926.pt_frase_09.wav,model_last.pt_frase_09.wav,checkpoint_original_frase_09.wav
"Ela estava finalizando o projeto, revisando detalhes tecnicos e preparando a apresentacao para segunda-feira.",model_17642.pt_frase_10.wav,model_35284.pt_frase_10.wav,model_52926.pt_frase_10.wav,model_last.pt_frase_10.wav,checkpoint_original_frase_10.wav
