indice,variacao,seed,texto,modelo,experimento,checkpoint,criterio_selecao,referencia,arquivo_gerado,status,tempo_s,erro
1,1,42,Hoje o trânsito estava tranquilo,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/001.wav,ok,18.19,
1,2,123,Hoje o trânsito estava tranquilo,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/001.wav,ok,15.08,
1,3,456,Hoje o trânsito estava tranquilo,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/001.wav,ok,12.48,
2,1,42,Você conseguiu encontrar o endereço correto da reunião?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/002.wav,ok,10.65,
2,2,123,Você conseguiu encontrar o endereço correto da reunião?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/002.wav,ok,8.54,
2,3,456,Você conseguiu encontrar o endereço correto da reunião?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/002.wav,ok,16.64,
3,1,42,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/003.wav,ok,27.88,
3,2,123,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/003.wav,ok,28.54,
3,3,456,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/003.wav,ok,17.42,
4,1,42,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/004.wav,ok,28.56,
4,2,123,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/004.wav,ok,29.04,
4,3,456,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/004.wav,ok,29.03,
5,1,42,Que surpresa agradável encontrar vocês por aqui!,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/005.wav,ok,8.44,
5,2,123,Que surpresa agradável encontrar vocês por aqui!,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/005.wav,ok,9.58,
5,3,456,Que surpresa agradável encontrar vocês por aqui!,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/005.wav,ok,15.41,
6,1,42,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/006.wav,ok,28.93,
6,2,123,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/006.wav,ok,43.3,
6,3,456,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/006.wav,ok,26.22,
7,1,42,Ontem eu passei rapidamente no mercado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/007.wav,ok,12.23,
7,2,123,Ontem eu passei rapidamente no mercado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/007.wav,ok,11.23,
7,3,456,Ontem eu passei rapidamente no mercado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/007.wav,ok,20.16,
8,1,42,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/008.wav,ok,15.29,
8,2,123,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/008.wav,ok,6.33,
8,3,456,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/008.wav,ok,19.49,
9,1,42,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/009.wav,ok,20.34,
9,2,123,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/009.wav,ok,19.59,
9,3,456,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/009.wav,ok,25.49,
10,1,42,O computador reiniciou sozinho,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v1/010.wav,ok,14.31,
10,2,123,O computador reiniciou sozinho,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v2/010.wav,ok,11.25,
10,3,456,O computador reiniciou sozinho,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/1.wav,original/v3/010.wav,ok,9.39,
11,1,42,Ainda não recebi a confirmação da inscrição,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/011.wav,ok,24.06,
11,2,123,Ainda não recebi a confirmação da inscrição,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/011.wav,ok,13.08,
11,3,456,Ainda não recebi a confirmação da inscrição,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/011.wav,ok,15.14,
12,1,42,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/012.wav,ok,64.13,
12,2,123,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/012.wav,ok,39.07,
12,3,456,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/012.wav,ok,30.93,
13,1,42,Será que o ônibus passa por esta rua?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/013.wav,ok,9.34,
13,2,123,Será que o ônibus passa por esta rua?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/013.wav,ok,5.21,
13,3,456,Será que o ônibus passa por esta rua?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/013.wav,ok,9.42,
14,1,42,O técnico resolveu o problema em poucos minutos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/014.wav,ok,15.7,
14,2,123,O técnico resolveu o problema em poucos minutos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/014.wav,ok,22.3,
14,3,456,O técnico resolveu o problema em poucos minutos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/014.wav,ok,22.6,
15,1,42,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/015.wav,ok,19.57,
15,2,123,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/015.wav,ok,19.82,
15,3,456,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/015.wav,ok,11.01,
16,1,42,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/016.wav,ok,20.83,
16,2,123,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/016.wav,ok,37.9,
16,3,456,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/016.wav,ok,58.21,
17,1,42,Você pode repetir a última informação?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/017.wav,ok,8.63,
17,2,123,Você pode repetir a última informação?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/017.wav,ok,6.49,
17,3,456,Você pode repetir a última informação?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/017.wav,ok,6.34,
18,1,42,A encomenda chegou exatamente no prazo informado pela transportadora,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/018.wav,ok,43.61,
18,2,123,A encomenda chegou exatamente no prazo informado pela transportadora,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/018.wav,ok,28.6,
18,3,456,A encomenda chegou exatamente no prazo informado pela transportadora,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/018.wav,ok,27.18,
19,1,42,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/019.wav,ok,32.52,
19,2,123,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/019.wav,ok,31.32,
19,3,456,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/019.wav,ok,18.42,
20,1,42,Faz bastante calor hoje,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v1/020.wav,ok,9.21,
20,2,123,Faz bastante calor hoje,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v2/020.wav,ok,22.09,
20,3,456,Faz bastante calor hoje,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/2.wav,original/v3/020.wav,ok,27.07,
21,1,42,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/021.wav,ok,40.0,
21,2,123,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/021.wav,ok,27.91,
21,3,456,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/021.wav,ok,43.99,
22,1,42,Eu não esperava encontrar tanta gente naquele horário,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/022.wav,ok,30.47,
22,2,123,Eu não esperava encontrar tanta gente naquele horário,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/022.wav,ok,24.8,
22,3,456,Eu não esperava encontrar tanta gente naquele horário,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/022.wav,ok,15.1,
23,1,42,Qual foi a primeira cidade que você visitou durante as férias?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/023.wav,ok,11.48,
