timestamp_utc,checkpoint_dir,step,frase_idx,out_file,speaker,language,text
2026-05-20T13:48:04Z,/workspace/experiments/pb_001/run/checkpoint-step-005000,5000,1,step_5000_frase1.wav,pb_sotaque,Portuguese,'Hoje acordei cedo, preparei um café forte e organizei a mesa para estudar com calma.'
2026-05-20T13:48:29Z,/workspace/experiments/pb_001/run/checkpoint-step-005000,5000,2,step_5000_frase2.wav,pb_sotaque,Portuguese,'Enquanto o trem passava devagar, uma criança sorria e apontava para as nuvens alaranjadas.'
2026-05-20T13:48:54Z,/workspace/experiments/pb_001/run/checkpoint-step-005000,5000,3,step_5000_frase3.wav,pb_sotaque,Portuguese,'O pesquisador analisou os dados, escreveu um relatório objetivo e compartilhou as conclusões com a equipe.'
2026-05-20T13:49:25Z,/workspace/experiments/pb_001/run/checkpoint-step-005000,5000,4,step_5000_frase4.wav,pb_sotaque,Portuguese,'Estamos construindo uma rotina mais saudável, caminhando no bairro e cozinhando alimentos frescos todos os dias.'
2026-05-20T13:50:02Z,/workspace/experiments/pb_001/run/checkpoint-step-005000,5000,5,step_5000_frase5.wav,pb_sotaque,Portuguese,'A bibliotecária catalogou romances, dicionários e biografias, mantendo cada prateleira limpa e bem sinalizada.'
2026-05-20T13:51:07Z,/workspace/experiments/pb_001/run/checkpoint-step-010000,10000,1,step_10000_frase1.wav,pb_sotaque,Portuguese,'Hoje acordei cedo, preparei um café forte e organizei a mesa para estudar com calma.'
2026-05-20T13:51:29Z,/workspace/experiments/pb_001/run/checkpoint-step-010000,10000,2,step_10000_frase2.wav,pb_sotaque,Portuguese,'Enquanto o trem passava devagar, uma criança sorria e apontava para as nuvens alaranjadas.'
2026-05-20T13:51:51Z,/workspace/experiments/pb_001/run/checkpoint-step-010000,10000,3,step_10000_frase3.wav,pb_sotaque,Portuguese,'O pesquisador analisou os dados, escreveu um relatório objetivo e compartilhou as conclusões com a equipe.'
2026-05-20T13:52:21Z,/workspace/experiments/pb_001/run/checkpoint-step-010000,10000,4,step_10000_frase4.wav,pb_sotaque,Portuguese,'Estamos construindo uma rotina mais saudável, caminhando no bairro e cozinhando alimentos frescos todos os dias.'
2026-05-20T13:52:54Z,/workspace/experiments/pb_001/run/checkpoint-step-010000,10000,5,step_10000_frase5.wav,pb_sotaque,Portuguese,'A bibliotecária catalogou romances, dicionários e biografias, mantendo cada prateleira limpa e bem sinalizada.'
2026-05-20T13:54:10Z,/workspace/experiments/pb_001/run/checkpoint-step-015000,15000,1,step_15000_frase1.wav,pb_sotaque,Portuguese,'Hoje acordei cedo, preparei um café forte e organizei a mesa para estudar com calma.'
2026-05-20T13:54:41Z,/workspace/experiments/pb_001/run/checkpoint-step-015000,15000,2,step_15000_frase2.wav,pb_sotaque,Portuguese,'Enquanto o trem passava devagar, uma criança sorria e apontava para as nuvens alaranjadas.'
2026-05-20T13:55:06Z,/workspace/experiments/pb_001/run/checkpoint-step-015000,15000,3,step_15000_frase3.wav,pb_sotaque,Portuguese,'O pesquisador analisou os dados, escreveu um relatório objetivo e compartilhou as conclusões com a equipe.'
2026-05-20T13:55:39Z,/workspace/experiments/pb_001/run/checkpoint-step-015000,15000,4,step_15000_frase4.wav,pb_sotaque,Portuguese,'Estamos construindo uma rotina mais saudável, caminhando no bairro e cozinhando alimentos frescos todos os dias.'
2026-05-20T13:56:15Z,/workspace/experiments/pb_001/run/checkpoint-step-015000,15000,5,step_15000_frase5.wav,pb_sotaque,Portuguese,'A bibliotecária catalogou romances, dicionários e biografias, mantendo cada prateleira limpa e bem sinalizada.'
